Checked,Protein FDR Confidence: Combined,Master,Accession,Description,Exp. q-value: Combined,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,# AAs,MW [kDa],calc. pI,Score Mascot: Mascot,# Peptides (by Search Engine): Mascot,# Razor Peptides,Abundances_WT-1,Abundances_WT-2,Abundances_RM1-1,Abundances_RM1-2,Abundances_RM2-1,Abundances_RM2-3,"Found in Sample: [S1] F1: WT-1, Sample","Found in Sample: [S6] F1: RM2-3, Sample","Found in Sample: [S3] F1: RM1-1, Sample","Found in Sample: [S4] F1: RM1-2, Sample","Found in Sample: [S5] F1: RM2-1, Sample","Found in Sample: [S2] F1: WT-2, Sample",# Protein Groups,Modifications,gene.names,locus_tag,protein
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15850.1_3415,[gene=rpoB] [locus_tag=N6Q85_17470] [protein=DNA-directed RNA polymerase subunit beta] [protein_id=UXK15850.1] [location=complement(3644981..3649069)] [gbkey=CDS],0,1114.19,75,91,495,91,1362,151.8,5.36,9096,91,0,613267709.1,395823063.9,467205059.9,523377412.1,682202800.8,669804588.3,High,High,High,High,High,High,1,,rpoB,N6Q85_17470 ,DNA-directed RNA polymerase subunit beta 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15849.1_3414,[gene=rpoC] [locus_tag=N6Q85_17465] [protein=DNA-directed RNA polymerase subunit beta'] [protein_id=UXK15849.1] [location=complement(3640701..3644894)] [gbkey=CDS],0,1111.634,69,99,587,99,1397,155,7.3,9988,99,0,664083480.7,398806552.8,455419086.2,540313441,714678488.6,689662380.2,High,High,High,High,High,High,1,,rpoC,N6Q85_17465 ,DNA-directed RNA polymerase subunit beta' 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15358.1_2891,[gene=fusA] [locus_tag=N6Q85_14745] [protein=elongation factor G] [protein_id=UXK15358.1] [location=complement(3061991..3064129)] [gbkey=CDS],0,907.171,69,50,586,50,712,78.8,5.15,12503,50,0,994444383,603440951,792145782.2,784473080.4,1161719276,1123429344,High,High,High,High,High,High,1,,fusA,N6Q85_14745 ,elongation factor G 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16081.1_3665,[gene=dnaK] [locus_tag=N6Q85_18805] [protein=molecular chaperone DnaK] [protein_id=UXK16081.1] [location=3910639..3912579] [gbkey=CDS],0,873.889,79,64,331,64,646,69.3,4.87,6714,64,0,691773929.3,444508811.4,549043070.2,512893449.7,474746173.6,615021904.2,High,High,High,High,High,High,1,,dnaK,N6Q85_18805 ,molecular chaperone DnaK 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17319.1_1283,[locus_tag=N6Q85_06660] [protein=bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase] [protein_id=UXK17319.1] [location=1430392..1433031] [gbkey=CDS],0,789.062,80,60,301,60,879,94.7,5.21,5508,60,0,564146669.4,339346910.4,410931812.4,533169720.1,561894332.7,629897544.1,High,High,High,High,High,High,1,,_06660 ,N6Q85_06660 ,bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15806.1_3368,[gene=infB] [locus_tag=N6Q85_17220] [protein=translation initiation factor IF-2] [protein_id=UXK15806.1] [location=complement(3592254..3594953)] [gbkey=CDS],0,748.784,70,68,319,68,899,97.3,6.96,5122,68,0,249989706.6,147568743.5,170060478.8,199757500.5,264811929.3,238234572.5,High,High,High,High,High,High,1,,infB,N6Q85_17220 ,translation initiation factor IF-2 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16250.1_148,"[gene=aceE] [locus_tag=N6Q85_00765] [protein=pyruvate dehydrogenase (acetyl-transferring), homodimeric type] [protein_id=UXK16250.1] [location=165319..168036] [gbkey=CDS]",0,741.792,71,59,428,59,905,101.8,5.59,7751,59,0,652347960.6,360890304.8,449682779.6,463538687.1,583006294.7,604897808.2,High,High,High,High,High,High,1,,aceE,N6Q85_00765 ,pyruvate dehydrogenase (acetyl-transferring)
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16829.1_755,[gene=groL] [locus_tag=N6Q85_03965] [protein=chaperonin GroEL] [protein_id=UXK16829.1] [location=844266..845900] [gbkey=CDS],0,696.193,78,38,537,38,544,57.1,5.02,12494,38,0,923906755.6,522382617.9,567344662.8,707452060.6,597442057.5,844018028.3,High,High,High,High,High,High,1,,groL,N6Q85_03965 ,chaperonin GroEL 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16792.1_716,[locus_tag=N6Q85_03755] [protein=2-oxoglutarate dehydrogenase E1 component] [protein_id=UXK16792.1] [location=771168..774008] [gbkey=CDS],0,660.107,68,54,269,54,946,105.9,5.82,5226,54,0,312390583.2,201379746.5,226802522.9,265857374.1,337832817,357042637.8,High,High,High,High,High,High,1,,_03755 ,N6Q85_03755 ,2-oxoglutarate dehydrogenase E1 component 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK16973.1_905,[locus_tag=N6Q85_04725] [protein=NADP-dependent isocitrate dehydrogenase] [protein_id=UXK16973.1] [location=1005879..1008116] [gbkey=CDS],0,639.863,81,50,287,50,745,82.6,5.92,4962,50,0,522122972,332007923,416443963.2,452115377.9,588564225.7,613519761.4,High,High,High,High,High,High,1,,_04725 ,N6Q85_04725 ,NADP-dependent isocitrate dehydrogenase 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK15955.1_3526,[gene=atpD] [locus_tag=N6Q85_18075] [protein=F0F1 ATP synthase subunit beta] [protein_id=UXK15955.1] [location=complement(3765109..3766503)] [gbkey=CDS],0,629.939,90,34,320,34,464,50.2,5.16,7033,34,0,463961077.3,298111905.7,360749134.4,404107256.1,552005915.2,503517297.1,High,High,High,High,High,High,1,,atpD,N6Q85_18075 ,F0F1 ATP synthase subunit beta 
FALSE,High,Master Protein,>lcl|CP104751.1_prot_UXK17283.1_1246,[gene=ppsA] [locus_tag=N6Q85_06475] [protein=phosphoenolpyruvate synthase] [protein_id=UXK17283.1] [location=complement(1382000..1384387)] [gbkey=CDS],0,598.083,65,44,225,44,795,87,5.25,4474,44,0,273908884.7,192131473.2,197119425.9,271924660,258021753.4,346931750.9,High,High,High,High,High,High,1,,ppsA,N6Q85_06475 ,phosphoenolpyruvate synthase 
